Datetime,temp_c,wind_ms,irradiance_wm2
2016-01-01 00:00:00,-0.6,13.2,0.0
2016-01-01 01:00:00,-0.8,13.6,0.0
2016-01-01 02:00:00,-1.0,15.0,0.0
2016-01-01 03:00:00,-1.1,17.5,0.0
2016-01-01 04:00:00,-1.4,18.1,0.0
2016-01-01 05:00:00,-1.6,19.3,0.0
2016-01-01 06:00:00,-1.9,19.8,0.0
2016-01-01 07:00:00,-2.1,19.1,0.0
2016-01-01 08:00:00,-2.3,18.4,0.0
2016-01-01 09:00:00,-2.0,20.9,38.0
2016-01-01 10:00:00,-1.2,23.1,144.0
2016-01-01 11:00:00,-0.4,21.6,236.0
2016-01-01 12:00:00,0.2,21.7,267.0
2016-01-01 13:00:00,0.9,22.2,299.0
2016-01-01 14:00:00,0.9,22.4,235.0
2016-01-01 15:00:00,0.8,22.4,194.0
2016-01-01 16:00:00,0.4,22.7,108.0
2016-01-01 17:00:00,-0.2,17.4,37.0
2016-01-01 18:00:00,-0.9,16.0,1.0
2016-01-01 19:00:00,-1.3,14.2,0.0
2016-01-01 20:00:00,-1.7,12.6,0.0
2016-01-01 21:00:00,-2.2,12.3,0.0
2016-01-01 22:00:00,-2.5,12.2,0.0
2016-01-01 23:00:00,-2.9,11.8,0.0
2016-01-02 00:00:00,-3.1,11.1,0.0
2016-01-02 01:00:00,-3.3,11.0,0.0
2016-01-02 02:00:00,-3.6,11.3,0.0
2016-01-02 03:00:00,-3.6,12.5,0.0
2016-01-02 04:00:00,-3.5,13.1,0.0
2016-01-02 05:00:00,-3.4,11.1,0.0
2016-01-02 06:00:00,-3.2,12.5,0.0
2016-01-02 07:00:00,-3.1,13.3,0.0
2016-01-02 08:00:00,-3.0,13.4,0.0
2016-01-02 09:00:00,-2.3,13.0,60.0
2016-01-02 10:00:00,-0.7,15.5,207.0
2016-01-02 11:00:00,0.6,19.0,325.0
2016-01-02 12:00:00,1.2,18.0,336.0
2016-01-02 13:00:00,1.9,17.8,378.0
2016-01-02 14:00:00,2.9,17.9,400.0
2016-01-02 15:00:00,3.0,17.7,326.0
2016-01-02 16:00:00,2.9,16.2,232.0
2016-01-02 17:00:00,1.7,10.4,89.0
2016-01-02 18:00:00,0.6,12.0,2.0
2016-01-02 19:00:00,0.1,13.5,0.0
2016-01-02 20:00:00,-0.1,15.0,0.0
2016-01-02 21:00:00,-0.2,16.4,0.0
2016-01-02 22:00:00,-0.3,18.0,0.0
2016-01-02 23:00:00,-0.4,18.5,0.0
