p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,target
1,2001,99,72,1242,32,39,13197,67,1970-01-01,165,74,Mumbai,Medium,38,95,79,Goalkeeper,33,29.825780179926532,3,1,1,579,21,0
2,2012,46,40,1555,30,28,41893,254,1970-01-02,152,57,Mumbai,Medium,81,37,65,Defender,22,26.178196587995764,1,1,0,396,39,0
3,2020,8,74,1726,19,26,11114,5,1970-01-03,197,60,Chennai,Medium,95,70,63,Forward,34,19.25119905756108,2,3,1,859,8,0
4,2000,20,178,1920,33,38,36125,445,1970-01-04,166,56,Chennai,Low,87,65,62,Defender,19,23.23348031330611,1,1,0,425,57,0
5,2022,45,441,918,11,43,29573,33,1970-01-05,164,84,Bangalore,Low,87,85,79,Defender,26,19.818891301801408,3,4,0,994,26,0
6,2013,26,231,468,19,16,9222,119,1970-01-06,158,70,Delhi,High,68,91,52,Goalkeeper,38,21.154421305394106,1,2,0,385,49,0
7,2004,32,67,704,14,6,5120,231,1970-01-07,162,63,Mumbai,Medium,50,43,68,Midfielder,39,26.245583651167276,2,4,0,605,13,1
8,2002,89,469,1520,1,30,33059,383,1970-01-08,159,76,Chennai,Medium,78,57,70,Forward,35,22.698635106832004,2,1,0,128,73,0
9,2014,55,361,803,22,13,3564,418,1970-01-09,182,83,Chennai,High,32,64,56,Defender,24,21.842243579898792,1,3,0,696,71,0
10,2020,69,152,1807,11,28,24080,230,1970-01-10,156,97,Hyderabad,High,32,39,84,Midfielder,39,23.808390479946706,3,3,1,721,42,0
11,2020,73,315,2183,35,11,26415,489,1970-01-11,190,51,Chennai,High,64,74,87,Forward,22,23.869917433973782,3,4,0,208,6,1
12,2009,69,400,1339,26,35,11604,185,1970-01-12,195,82,Delhi,Medium,91,54,69,Forward,28,28.9650604589619,3,4,1,444,5,0
13,2017,27,418,824,14,16,587,436,1970-01-13,191,60,Mumbai,Medium,66,84,63,Defender,20,24.176835921407108,1,1,1,170,77,0
14,2009,11,229,237,35,43,29482,203,1970-01-14,181,75,Chennai,Low,93,84,94,Forward,32,28.82260234620805,1,3,1,607,7,1
15,2001,31,337,2089,0,19,3564,371,1970-01-15,189,63,Hyderabad,High,64,56,50,Midfielder,39,22.973457119577464,1,3,1,10,46,1
16,2013,91,283,2381,30,3,16780,13,1970-01-16,158,88,Mumbai,Low,35,38,73,Defender,36,19.559598399754563,1,2,1,156,79,0
17,2014,82,323,1144,31,32,29258,442,1970-01-17,195,51,Delhi,Low,35,66,58,Midfielder,38,23.920808652370944,2,4,1,54,91,1
18,2014,98,287,1917,3,8,13975,396,1970-01-18,164,84,Delhi,High,39,30,61,Midfielder,18,22.35436652729038,2,3,1,367,69,0
19,2022,52,99,128,23,21,43039,451,1970-01-19,171,86,Bangalore,High,89,60,91,Midfielder,30,25.92493103617668,1,2,1,255,46,1
20,2019,30,382,64,6,32,21132,289,1970-01-20,151,68,Mumbai,Low,39,34,51,Forward,22,28.239703069988856,3,2,1,607,27,1
21,2019,97,73,326,18,49,14664,97,1970-01-21,188,92,Bangalore,Low,72,43,89,Defender,33,22.894178663407345,3,1,0,691,21,1
22,2010,49,254,2126,23,5,47895,388,1970-01-22,166,81,Mumbai,Medium,95,46,61,Defender,29,18.74148650411657,1,3,1,292,47,1
23,2001,47,316,824,32,5,37121,23,1970-01-23,155,73,Chennai,Low,76,93,66,Forward,30,19.95852217471801,1,1,0,764,89,1
24,2000,23,64,1135,27,34,41619,329,1970-01-24,156,93,Mumbai,Low,84,95,59,Forward,32,28.162120770528173,3,2,0,929,19,0
25,2012,94,93,2521,5,48,34655,328,1970-01-25,185,97,Hyderabad,High,46,91,92,Forward,32,22.490525399313412,1,4,1,39,41,0
26,2001,0,204,916,9,18,48300,120,1970-01-26,159,70,Delhi,Medium,68,84,94,Defender,26,20.467844481766804,3,2,0,907,74,1
