City,Latitude,Longitude,Solar_Irradiance_kWh/m²/day,Temperature_C,Wind_Speed_m/s,PV_Power_kW,Wind_Power_kW,Electrolyzer_Efficiency_%,Hydrogen_Production_kg/day,Desalination_Power_kW,System_Efficiency_%,Feasibility_Score
City-1,23.115249079745553,-16.168681853618335,6.275548724812433,20.763574393731414,6.234331598013736,243,183,74.93687187820787,47,13.870328639135188,78.58713669506238,0.9149599654417105
City-2,25.250598363163448,-16.4210541999236,6.19721888081418,20.02613301116082,5.997667554757338,255,198,75.49706425513804,45,13.178681433310112,81.92904351746606,0.9277924841186516
City-3,25.958851901176107,-16.664584264067077,6.186906720045296,21.30951336010435,6.497160214494958,255,175,74.45091411291013,57,11.181305409693964,75.8467716548373,0.9465266419797942
City-4,26.033860401518798,-14.390838841680287,6.48629201849168,19.300274663284256,5.510871974830615,268,186,73.15322180086874,53,12.380513341182375,77.97596051014307,0.9373098072851128
City-5,23.13816547091868,-12.808114003644024,6.216891181554744,21.05507101727336,6.391867732703573,253,179,76.43251105380428,47,13.786392295533965,77.30695276086063,0.909016015157278
City-6,24.43154176674408,-15.62710880434622,6.224969070132584,20.520637187295254,5.9688459135947785,279,199,74.49933103037334,46,12.062853050939768,77.20320100856206,0.8993014245615564
City-7,23.83704284192144,-14.83674366546227,6.293518894878847,20.96688052396937,5.557821622912222,270,191,74.5134534863749,52,14.738850487320725,80.4333653622571,0.950869179014354
City-8,27.088497530926947,-13.161075526405535,5.678862277144594,20.105711134619696,5.949863763885088,244,184,75.7593232801626,55,12.900804547677952,81.63784388831783,0.9758861161291084
City-9,27.5129604607139,-16.496984082323056,6.378247037367043,19.910005633360665,5.623385014244186,253,192,75.22436822108064,51,14.575570617655519,78.37478647038212,0.9333838033238773
City-10,23.51077858428858,-14.756360480811091,5.747704380268374,22.323935776560404,5.874854540376812,254,192,74.32430887701699,54,14.45341859956161,77.91291367677255,0.9432842284616679
City-11,26.1884179647488,-14.423285268519262,5.519274284523303,22.51628404803612,6.126366129680029,253,181,74.9604344196902,49,13.742870762464484,81.86548792642331,0.9457612900048538
City-12,23.786488332551997,-15.726501711159697,6.107502415208247,21.084047500721944,5.613465846236168,247,183,73.01304109592564,54,11.386081826232182,79.91939493809308,0.9547686374039582
City-13,24.94160144517654,-16.904897698786183,6.467907197440243,19.834613321763406,6.294982088693057,251,185,73.89753232690944,55,12.842236805431607,80.1809666619009,0.9648364854840007
City-14,27.43538723680161,-16.32268072060466,6.319440852298785,19.43114416979969,5.809763836870414,271,189,76.54210412969498,59,14.031132677953709,77.48470491069968,0.9702741056041122
City-15,24.098340128593513,-16.80003492716475,5.717488933170916,20.550881041284406,5.947636808281576,255,193,75.89631833212205,56,13.448717434057349,77.6612906271217,0.954423109712773
City-16,27.118816098512518,-14.215560435693119,5.648559376391294,21.519283619733855,6.4831963250321785,275,183,75.06283260319233,49,13.473691103081517,75.67144441825434,0.9049894905559348
City-17,24.349829803016284,-16.092476161022972,5.599997514025573,19.30620170952426,5.771951080423545,253,185,75.08237233454217,56,13.715401345434799,76.77939623964289,0.9466106515075717
City-18,26.281101421408035,-13.858842067130848,5.833796776618596,20.549532520090445,6.250504402146902,241,198,75.44871162588619,56,14.19534973919078,75.7632504816383,0.9415775001992216
City-19,26.62229469390848,-13.16464767408992,5.929042247779625,19.93002936943627,6.358107557107834,256,199,76.68518526174492,58,12.384850250505917,80.97822464956165,0.9892799258211403
City-20,27.643831597016586,-16.928112645574537,6.056919659993979,20.863410439874762,6.378761188133046,243,197,75.84667870369296,58,14.338511873361208,80.33859301998284,0.9838041059060707
City-21,24.63211323346721,-16.41793009268465,5.732486223968159,20.106135543285347,5.544718421502422,278,182,73.78207938607086,52,14.763207587970738,80.13405710022026,0.9466504437524741
City-22,23.887474554799862,-14.298431372821026,6.033032842945046,19.263436653361687,6.37871748942719,257,175,75.92276750712361,52,13.128571651304302,75.91210596380544,0.9237044873760675
City-23,27.57663523404891,-16.694390358305466,5.7188124684713015,19.400284108353603,6.1813724956027585,269,175,74.35558536348039,51,12.830279785373726,79.54129015546559,0.9396135830121674
City-24,27.71792101985086,-15.871768664096303,6.09447041035274,21.856783465772814,6.423772668499176,258,179,73.02943100336348,50,11.883284720151323,75.61683892024806,0.9069021304405942
City-25,25.639352443110567,-13.366676956887185,5.968004390231241,20.76674873503324,5.805749897201132,267,181,75.12154808700674,50,14.383050933814616,78.31546303809999,0.9273694374990223
City-26,26.733169694810968,-14.358188005038127,6.439470956247639,21.06477719785874,6.390949308801475,255,175,74.40322764456953,46,12.013346669720189,78.04132126257666,0.9058636101901463
City-27,23.18461452140095,-13.26773102167338,6.1626539771354665,19.12403263204733,6.093956092981346,258,194,75.52925626201505,52,11.361942186401311,81.85420058201285,0.962844694783466
City-28,25.370986799853753,-13.806600047978954,6.232471779844116,19.802150478928816,5.596953517420256,262,176,74.46146553516047,54,11.309294815720884,76.35087286539454,0.933331946388981
City-29,24.86668540329405,-12.91883761213012,6.184017196225844,22.188770755278203,6.156073679233809,248,189,74.00641958346793,46,11.167849229646855,77.95846044333736,0.9038095161651066
City-30,24.349413702048498,-13.901019579896047,6.286248146558118,20.709145393662325,5.741292776993549,243,176,74.34685864437962,57,13.58335013236996,79.41458824928321,0.9693008550409803
City-31,23.45106356904412,-12.181548598937823,6.305350288079806,19.879299449952477,6.1861611928209825,265,189,75.61372845498549,56,13.464935136807032,80.72998157192568,0.976030645571386
City-32,26.7501695536324,-14.587601304042536,6.365387428582541,20.689264827077178,5.95752104218819,264,184,75.59639667987537,47,13.411786680863184,81.05613001166465,0.9324039027911198
City-33,26.702021836836334,-12.793387779308375,5.927812618999274,22.311553636389252,5.54480015922035,254,197,76.33455763847833,52,14.595552789793564,76.65023618490346,0.9277924679292793
City-34,27.15911847916214,-15.344992442286474,5.844015599045416,21.449980164479793,6.071843500327863,242,176,76.49392852448089,55,13.835298190317857,75.65341221644066,0.9372579040203939
City-35,23.138948671885846,-16.09022668365867,6.3062827287004675,22.618822854746423,5.964379058245814,266,176,73.95186118017196,52,14.647408345558052,77.68197875688436,0.9320779206969773
City-36,26.66413896182912,-16.539651849168276,5.632084085354309,22.18445120310879,5.851229139950552,246,182,76.29002418893995,59,13.351945152440049,75.62060501356848,0.9561916052406778
City-37,24.053522290400785,-14.336801577086538,5.964595340436982,21.781225103304287,6.014391532455255,257,195,76.1086689216504,45,13.445986321352088,81.06377020900071,0.9226253291657991
City-38,26.47456416889602,-12.706816961425858,5.973439295364309,21.740766248155342,5.8756782279913535,242,199,76.4640336200479,50,11.220404360259836,79.6366918419119,0.9386679154240678
City-39,26.491772302878598,-16.277547066912092,6.488877572596267,19.563875137667583,5.5862981125225675,269,190,74.69342273892939,48,11.84897556416648,75.64305020360965,0.8990230389904809
City-40,27.680353881425276,-13.166528804226585,5.598907307112795,20.364229985206126,6.115116477988491,272,190,74.89305870061074,54,13.894739080432489,79.15793695817992,0.952791782878536
City-41,26.604101168599968,-15.25063669842515,5.523990380451261,20.594415211166243,6.222981424996711,240,186,76.17793034482304,45,13.086191669953497,80.28612538399722,0.9171076531593862
City-42,27.32030661072597,-14.801141126497999,6.308777882315097,20.370974258215483,5.682033458626593,277,184,73.7287614424546,54,13.919156128316896,80.86360692705595,0.9627963704398926
City-43,25.963336940057786,-12.45528207961001,5.738566546666256,20.347668750030053,6.1524067671527485,265,182,75.92833795232274,51,12.269222294544793,80.10419101650918,0.9460445605448727
City-44,25.092417103538775,-13.883846277712138,6.0008176106811915,21.564431868979934,5.888020731992038,260,176,75.35886012271939,49,14.700559186539753,78.1297222395392,0.9216541463653738
City-45,24.283120665012305,-12.680350227474875,6.075600471826134,21.077511260043586,6.477268461296676,267,181,74.71313396826827,58,13.463935442264578,75.40460151590092,0.9488230652344832
City-46,26.54270858849221,-16.96521824601573,5.88387113177656,22.122255814295947,6.4852556811242295,266,181,73.62455440444108,49,13.656667005054889,81.78984772132445,0.944219001997605
City-47,25.558075619625388,-12.754905233288401,5.673628542560379,19.834781318032757,5.795711184911411,249,196,76.17164041421725,56,13.845514635071972,76.44056073980802,0.9463263122789047
City-48,23.940448417699187,-12.125760974985386,6.148081004345472,20.57029684935217,5.643587501823042,247,199,73.31051291630487,51,11.09583561594343,80.19156699868294,0.9420535847029512
City-49,25.05756247670284,-13.175412299963252,5.552489837173532,21.40173625797661,5.864407770944944,272,175,76.7116870128453,57,12.144461882661078,77.70856031162069,0.9607547604731934
City-50,23.164274736172736,-13.774039103966556,6.043942075713066,22.95457380538514,5.648697402783975,257,188,75.61744179152417,54,14.624455783918926,81.75548139627408,0.9714909360209709
City-51,26.30119760357944,-12.755907357286112,6.242316511030009,21.555669180749728,6.221013784222512,244,178,75.30771668463835,49,11.585979383123272,81.44943980872556,0.9449197819594114
City-52,27.064605552964384,-12.683032776211997,6.4344268224477235,21.60369926854357,5.549497000179459,264,187,73.95962025114012,53,12.52848406471864,81.11326877222915,0.9598003371979832
City-53,23.072036511781203,-16.36727299242475,6.075914345762765,20.192302407123165,5.573013202348642,266,193,76.56123672884812,46,13.324861873956843,78.10667977731204,0.9079503546431208
City-54,27.711242682207644,-15.10539535180305,5.975508488051212,22.225658742916075,5.807247349142106,243,185,75.88469179038334,57,14.224127595927559,80.62023052921256,0.9796096121241501
City-55,27.13761779309989,-12.673368333568508,5.8244305212453265,20.324036805498153,6.313745106204923,274,196,74.55760120608451,51,13.6021956504349,79.43171176144895,0.9396164366903371
City-56,27.453642424885945,-13.066554186761453,5.564572581678285,19.07011023594623,5.593386136510035,246,179,73.14453708877738,51,11.357148177618342,78.5099696433758,0.9293672969468715
City-57,23.125926446077713,-16.694604492076802,6.420417455146434,21.863868067189472,6.082957290878419,258,194,76.54263751259336,58,13.498127741855622,75.92774080088937,0.9553508360443655
City-58,27.947820243855475,-12.756264286144345,6.12680538517008,21.9054947086789,6.180992971579778,248,190,76.6607576160061,50,11.669347091857874,78.64054633075058,0.9330561058237072
City-59,24.984564901424505,-14.918969674475516,6.309129754608058,22.86682229320907,5.8906160527292695,246,189,74.94363649451334,57,12.066721896791005,80.3137540022133,0.9766597822241339
City-60,26.29995374157243,-16.570836793004702,6.170821646621729,22.42941617168662,6.040244298087931,252,192,75.2352529567511,45,14.846671405270431,79.37762432632002,0.9101752922763815
City-61,24.63220267691892,-16.145234344932476,5.9309875964986105,21.783140533148668,6.355239520224507,252,185,73.43304305153895,51,13.303661523982,81.75627530951695,0.9536439454841826
City-62,25.69937351950169,-15.635385446710673,5.6322428383339735,19.348119216670263,5.506941473697121,245,175,73.2201208133765,55,13.82452284687151,79.22409816581354,0.9545058600401596
City-63,24.851369566748133,-12.5186343272409,5.904535674450898,22.54971489865091,6.360224134402103,261,198,74.53042622981786,51,12.193801175083848,78.71456544056143,0.9349485899831845
City-64,24.73694345078952,-16.6097615976007,6.333184478401709,21.481662585498924,6.151843186407641,253,178,74.18925507805356,57,11.344565401680313,78.08493867485906,0.9608410849878775
City-65,25.163835772571982,-16.862019487420714,6.088973863138849,20.447799933697002,6.187976174167887,240,181,76.60423652109239,50,14.780843410069803,79.96255265496538,0.9418225633362524
City-66,25.150607599421253,-14.557115075932922,6.412331887293864,21.809750935707285,5.568842287061459,243,180,73.18381563081861,53,13.089113104289686,81.9801690012875,0.9643331141627313
City-67,24.06889355478549,-16.7181338310445,5.75598605111303,20.59701954443065,6.341614775433482,279,194,73.38242201243237,53,13.450290552110022,75.61843181923567,0.9219696361473713
City-68,25.85759251962911,-14.809128411129826,5.825635623706814,19.14025966459788,5.684557816811695,263,194,76.60495287792034,59,12.730332762505542,76.08840866352988,0.9599219763632317
City-69,25.540982687808004,-16.26909609575023,5.884772751284581,22.80454549110546,5.572705500458999,253,183,75.51511782361729,56,13.717634380882895,80.37190442465601,0.9717070473216334
City-70,27.884119266597914,-12.150566209553874,5.606329861861291,19.392154330417185,5.536365095568652,252,194,73.23411202398356,56,14.003178420085105,78.55022582623593,0.9550486586685121
City-71,25.3168219905261,-14.552818187677962,5.55081479198228,22.589307800865516,6.362511367353383,240,181,76.92595138333215,46,11.026065546160153,76.17592122170176,0.8959925250790105
City-72,23.8879360558186,-14.513852444133622,5.524374491548922,22.01780811030906,6.3071142158720175,264,191,75.06734150411815,54,12.233766328675962,75.35235788435071,0.9276241505722058
City-73,23.332919448176188,-15.160014564884431,5.869236029599739,22.561888459911884,5.799590516225915,271,184,73.24724779112428,59,11.998042233065052,79.83870684424235,0.9798161574770349
City-74,24.012971399109155,-15.567359189067657,5.775965511811384,20.68161827496985,5.651859512222877,244,181,74.92986469487005,54,11.079330115847714,76.69538739852543,0.9357674618229876
City-75,23.469342553731064,-13.231260045889318,6.209024126898847,22.458089251963727,6.028528879146452,273,196,75.13581177679019,53,12.204553749773364,78.01357831520156,0.9413106008166129
City-76,24.68068042184392,-14.130583763610776,5.719470197997073,21.645613108009492,5.564361687965514,241,192,73.83721182176114,47,13.696157638622324,79.10015896057264,0.9144987403245288
City-77,25.940161243716567,-12.756945157356729,6.215391483503908,22.81491252713351,6.321736294553307,258,189,75.3388553625593,58,13.17780443056226,78.50340292873574,0.9707451866222817
City-78,24.987539136465333,-14.499214714060773,6.046910818669048,22.556176792752943,5.50782768439388,241,185,73.76924654528736,48,11.336607112907616,80.1472669978318,0.9269579691449725
City-79,26.405974871360208,-16.004557102329333,5.552583880414241,21.156275099062906,6.260848880058603,252,191,74.63794618329821,50,13.475888944126623,78.89068888985949,0.9304996457712643
City-80,26.139408497012596,-14.412548944913166,6.006563484187601,22.18736315444561,5.714448726616115,246,185,76.497030248871,59,11.191983444920524,76.23202286167393,0.9610637526794151
City-81,25.89172604928742,-12.095629829861384,5.537731212566378,22.45043045874186,5.806068513754982,268,199,76.7936048069973,55,14.851510345305542,81.60874789458978,0.9769530806780166
City-82,25.448155192442137,-16.087511153598324,6.246748004356735,22.359395400394988,6.354708764273159,259,176,75.91941386717278,50,12.785638668194068,78.34817918172297,0.9303301590266608
City-83,23.5016840498838,-12.10755372558738,5.913675502658178,21.491273120014192,5.871932282516651,247,182,73.02547912400273,52,13.287535867002365,80.37456036276144,0.9478536837176289
City-84,25.907608742232814,-15.123009191587034,5.922741753814697,22.32643699435178,5.646285029505471,240,187,76.31987346669487,51,12.37275451499984,78.76256891798506,0.9371158706493968
City-85,27.204946222033133,-12.718517900485994,5.762529923958218,19.57367692107534,6.063454097276154,244,180,75.57534473871333,58,14.027808385892493,77.45140344621996,0.9628518990340439
City-86,25.623230589534487,-14.14310195703749,5.963266915221845,21.811251722535452,5.626735502914233,274,185,74.52173705463058,58,14.043553135934046,78.73216243861373,0.9693137277393195
City-87,24.794229872359416,-15.906173891195314,6.113580802313544,19.286386218662837,6.174008898553465,253,183,76.2024943582871,46,12.258721774831821,75.27087692936908,0.8893015768667323
City-88,24.43959145547565,-13.392645964330427,6.1968781386804555,22.085702906257218,5.967045986332169,279,190,75.04386462873066,59,11.398778368672849,78.50126645600811,0.9746613768308937
City-89,27.918912170232282,-14.299508169907309,5.949782063018757,20.25678024652323,5.910673810627909,274,175,75.78759744232764,49,14.3448441089919,81.17413201775247,0.9428561739874058
City-90,26.27309719635783,-14.156283474268726,6.270085720383923,22.45919932244329,5.615439288955136,279,192,73.4150538367019,50,14.104061129623991,80.96001897246342,0.9425124261288969
City-91,27.229657265623647,-14.89129852991951,6.206943413473546,20.740630960552604,5.588501058680177,243,199,75.19397424358482,51,12.539548310765113,76.00501711259022,0.9170066552006376
City-92,26.306131335534193,-15.157408151472998,6.478518509738539,19.622368856346824,5.8002738217187915,258,190,76.41340611292048,52,12.424703291217474,80.04703187529745,0.9521874719178072
